[2020-10-22 16:40:50,632][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:40:50,703][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /static/favicon-1.ico HTTP/1.1" 200 1500]
[2020-10-22 16:40:59,676][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["POST /admin/job/jobs/add/ HTTP/1.1" 302 0]
[2020-10-22 16:40:59,721][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/job/jobs/ HTTP/1.1" 200 48125]
[2020-10-22 16:40:59,793][Thread-7:140191976212224][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:59,793][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:59,793][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:59,793][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:59,797][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:40:59,922][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /static/favicon-1.ico HTTP/1.1" 200 1500]
[2020-10-22 16:41:04,858][ThreadPoolExecutor-0_0:140191490635520][task_id:django][views.py:33][INFO][获取0个任务:change_status]
[2020-10-22 16:41:05,010][ThreadPoolExecutor-0_0:140191490635520][task_id:django][views.py:33][INFO][获取0个任务:analyze_data]
[2020-10-22 16:41:35,504][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/job/job/ HTTP/1.1" 200 39867]
[2020-10-22 16:41:35,635][Thread-7:140191976212224][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:41:35,636][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:41:35,636][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:41:35,637][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:41:35,642][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:41:35,712][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /static/favicon-1.ico HTTP/1.1" 200 1500]
[2020-10-22 16:41:37,208][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/job/job/add/ HTTP/1.1" 200 42223]
[2020-10-22 16:41:37,292][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:41:37,293][Thread-7:140191976212224][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:41:37,294][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:41:37,295][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:41:37,297][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:41:37,381][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /static/favicon-1.ico HTTP/1.1" 200 1500]
[2020-10-22 16:41:46,030][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["POST /admin/job/job/add/ HTTP/1.1" 302 0]
[2020-10-22 16:41:46,067][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/job/job/ HTTP/1.1" 200 44978]
